learning_case,central_component_case,year,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,nonstack_equipment_share_of_installed_capex,bop_epc_share_of_installed_capex,stack_embodied_newbuild_capital_saving_share,nonstack_equipment_newbuild_capital_saving_share,bop_epc_newbuild_capital_saving_share,total_newbuild_capital_saving_share,incumbent_stack_embodied_share_of_newbuild_capital_saving
base,False,2041,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.1612176300772517,0.3862176300772517,0.20390058316148935
base,False,2042,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.16339200553725636,0.38839200553725634,0.20275906526723275
base,False,2043,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.16537991113528694,0.3903799111352869,0.20172656879546505
base,False,2044,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.16720995615463102,0.392209956154631,0.2007853160386177
base,False,2045,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.16890468999470076,0.39390468999470074,0.19992145816049925
base,False,2046,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.17048219415219862,0.3954821941521986,0.19912400903109584
base,False,2047,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.17195718473490051,0.3969571847349005,0.19838411553777902
base,False,2048,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.17334179540775457,0.39834179540775455,0.19769454500597694
base,False,2049,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.17464614568602577,0.39964614568602574,0.19704931687710658
base,False,2050,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.175,0.39999999999999997,0.196875
base,False,2051,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.175,0.39999999999999997,0.196875
base,False,2052,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.175,0.39999999999999997,0.196875
base,False,2053,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.175,0.39999999999999997,0.196875
base,False,2054,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.175,0.39999999999999997,0.196875
base,False,2055,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.175,0.39999999999999997,0.196875
base,False,2056,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.175,0.39999999999999997,0.196875
base,False,2057,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.175,0.39999999999999997,0.196875
base,False,2058,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.175,0.39999999999999997,0.196875
base,False,2059,0.5,0.35,0.175,0.325,0.5,0.07874999999999999,0.14625,0.175,0.39999999999999997,0.196875
